Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,add product to basket,6348,0,10,11.986484481566414,5.008878000353434,1415.2108479997878,995.789224952741,5.129226780060969,0.0,10,10,11,12,13,16,23,40,440,1400,1400
POST,create basket,658,0,5,6.766023399699694,3.867076000005909,237.5635059997876,84.0,0.5316684343541458,0.0,5,6,6,6,8,10,14,23,240,240,240
GET,get basket,3187,0,5,5.946259985883231,3.4691739997469995,634.1125560002183,913.4731722623156,2.575117477639305,0.0,5,5,5,6,6,7,10,12,300,630,630
,Aggregated,10193,0,7,9.760912141763493,3.4691739997469995,1415.2108479997878,911.1920926125773,8.23601269205442,0.0,7,9,10,11,12,14,19,30,410,1400,1400
