Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738513747,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513748,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513749,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513750,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513751,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513752,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513753,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513754,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513755,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513756,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513757,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738513758,10,,Aggregated,0.000000,0.000000,15,16,16,17,18,20,20,20,20,20,20,20,0,15,14.462670799912303,6.882955000037327,19.627484000011464,126.5
1738513759,20,,Aggregated,0.000000,0.000000,14,16,16,17,18,19,20,20,20,20,20,40,0,14,13.826571699951273,6.882955000037327,19.627484000011464,135.0
1738513760,30,,Aggregated,0.000000,0.000000,13,14,16,16,18,18,19,20,20,20,20,62,0,13,12.978309387049634,6.882955000037327,19.627484000011464,138.8548387096774
1738513761,40,,Aggregated,20.000000,0.000000,13,15,16,17,22,28,31,33,33,33,33,88,0,13,14.434005727211611,5.693615999916801,32.68910600036179,149.70454545454547
1738513762,50,,Aggregated,21.000000,0.000000,13,15,16,17,22,28,30,31,33,33,33,117,0,13,13.863727299130371,4.2164759997831425,32.68910600036179,161.06837606837607
1738513763,60,,Aggregated,21.333333,0.000000,13,14,16,16,19,27,30,31,33,33,33,150,0,13,13.363751339984447,4.2164759997831425,32.68910600036179,170.22
1738513764,70,,Aggregated,23.000000,0.000000,12,14,15,16,18,23,30,31,33,33,33,190,0,12,12.77299674735619,3.771716999835917,32.68910600036179,182.55789473684212
1738513765,80,,Aggregated,23.800000,0.000000,12,14,15,16,17,22,29,30,33,33,33,233,0,12,12.41010173391041,3.771716999835917,32.68910600036179,194.3519313304721
1738513766,90,,Aggregated,26.833333,0.000000,12,14,15,16,17,20,28,30,33,33,33,274,0,12,12.258309470810534,3.771716999835917,32.68910600036179,208.32481751824818
1738513767,100,,Aggregated,28.714286,0.000000,12,13,14,15,17,19,28,30,33,33,33,314,0,12,11.981295117820876,3.771716999835917,32.68910600036179,212.5764331210191
1738513768,110,,Aggregated,30.625000,0.000000,11,13,14,15,17,18,27,30,33,33,33,367,0,11,11.441440514979622,3.771716999835917,32.68910600036179,219.07629427792915
1738513769,120,,Aggregated,31.333333,0.000000,11,13,14,15,17,19,28,30,39,39,39,414,0,11,11.449780212557007,3.771716999835917,39.16742300043552,226.80193236714976
1738513770,130,,Aggregated,33.000000,0.000000,11,13,14,15,17,19,27,30,39,39,39,480,0,11,11.363369674999527,3.771716999835917,39.16742300043552,236.28333333333333
1738513771,140,,Aggregated,36.000000,0.000000,11,13,14,15,17,19,28,31,63,63,63,542,0,11,11.49495689483164,3.771716999835917,63.34972800050309,248.11992619926198
1738513772,150,,Aggregated,39.400000,0.000000,11,13,14,15,17,19,27,30,63,63,63,610,0,11,11.40072388032601,3.771716999835917,63.34972800050309,259.17704918032786
1738513773,160,,Aggregated,43.900000,0.000000,11,13,14,15,17,19,26,30,63,63,63,671,0,11,11.250850807747886,3.7644990006810986,63.34972800050309,268.66766020864384
