Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,add product to basket,12865,0,9,10.6900709399111,4.533162000370794,855.9967770006551,1006.5987563155849,10.248218818261567,0.0,9,10,11,11,13,15,19,27,340,810,860
POST,create basket,1346,0,5,6.397888758549873,3.510287000608514,273.45449600034044,84.0,1.0722193959875685,0.0,5,5,6,6,7,8,12,19,230,270,270
GET,get basket,6320,0,5,5.86472126565845,3.366592999554996,893.8359519997903,906.9099683544304,5.034492260506266,0.0,5,5,5,5,6,7,10,12,300,890,890
,Aggregated,20531,0,7,8.923304237977971,3.366592999554996,893.8359519997903,915.426817982563,16.3549304747554,0.0,7,9,10,10,12,14,17,23,330,810,890
