Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738510771,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510772,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510773,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510774,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510775,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510776,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510777,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510778,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510779,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510780,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510781,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738510782,1,,Aggregated,0.000000,0.000000,11,11,11,11,11,11,11,11,11,11,11,2,0,5,7.617142999606585,4.5867069993619225,10.647578999851248,84.0
1738510783,2,,Aggregated,0.000000,0.000000,8,8,11,11,11,11,11,11,11,11,11,3,0,8,7.727571999870027,4.5867069993619225,10.647578999851248,84.0
1738510784,3,,Aggregated,0.000000,0.000000,8,11,15,15,290,290,290,290,290,290,290,7,0,8,48.42965671416875,4.5867069993619225,287.4200499991275,132.57142857142858
1738510785,4,,Aggregated,2.000000,0.000000,9,11,15,16,290,290,290,290,290,290,290,9,0,9,40.409318555450426,4.5867069993619225,287.4200499991275,140.66666666666666
1738510786,5,,Aggregated,2.500000,0.000000,9,13,15,15,16,290,290,290,290,290,290,11,0,9,34.83493745443411,4.5867069993619225,287.4200499991275,145.8181818181818
1738510787,6,,Aggregated,2.333333,0.000000,8,11,13,15,16,290,290,290,290,290,290,14,0,8,28.652138999859744,4.5867069993619225,287.4200499991275,144.71428571428572
1738510788,7,,Aggregated,2.250000,0.000000,8,10,11,13,16,290,290,290,290,290,290,17,0,8,24.85874005865566,4.559473999506736,287.4200499991275,144.0
1738510789,8,,Aggregated,2.200000,0.000000,8,9,11,11,15,16,290,290,290,290,290,21,0,8,21.474309618930594,4.559473999506736,287.4200499991275,140.66666666666666
1738510790,9,,Aggregated,2.333333,0.000000,8,11,11,11,16,16,290,290,290,290,290,26,0,8,19.329350422979658,4.559473999506736,287.4200499991275,162.5
1738510791,10,,Aggregated,2.571429,0.000000,8,10,11,11,16,17,290,290,290,290,290,31,0,8,17.5541796773858,3.6787140006708796,287.4200499991275,171.80645161290323
1738510792,11,,Aggregated,2.750000,0.000000,8,10,11,11,16,17,290,290,290,290,290,36,0,8,16.367150611080838,3.6787140006708796,287.4200499991275,183.27777777777777
1738510793,12,,Aggregated,3.222222,0.000000,8,10,11,13,16,17,290,290,290,290,290,42,0,8,15.528102833329848,3.6787140006708796,287.4200499991275,193.42857142857142
1738510794,13,,Aggregated,3.300000,0.000000,8,11,12,13,16,17,290,290,290,290,290,47,0,8,14.893235999961883,3.6787140006708796,287.4200499991275,207.17021276595744
1738510795,14,,Aggregated,3.600000,0.000000,8,10,11,13,16,19,19,290,290,290,290,54,0,8,14.076572666656123,3.6787140006708796,287.4200499991275,222.77777777777777
1738510796,15,,Aggregated,3.800000,0.000000,8,10,11,12,15,17,19,290,290,290,290,62,0,8,13.101164096761133,3.6787140006708796,287.4200499991275,224.09677419354838
1738510797,16,,Aggregated,4.300000,0.000000,8,10,11,11,15,17,19,290,290,290,290,67,0,8,12.651490313390838,3.6396099994817632,287.4200499991275,226.37313432835822
1738510798,17,,Aggregated,4.900000,0.000000,8,10,11,11,13,17,19,290,290,290,290,76,0,7,12.014082999987869,3.6396099994817632,287.4200499991275,238.67105263157896
1738510799,18,,Aggregated,5.300000,0.000000,8,10,11,11,13,17,260,290,290,290,290,82,0,7,14.82162357317021,3.6396099994817632,287.4200499991275,246.0731707317073
1738510800,19,,Aggregated,5.700000,0.000000,8,10,11,12,15,19,260,290,290,290,290,88,0,8,14.557426159078865,3.6396099994817632,287.4200499991275,242.75
1738510801,20,,Aggregated,5.800000,0.000000,8,10,11,12,14,19,260,290,290,290,290,95,0,8,14.105146631558647,3.6396099994817632,287.4200499991275,250.81052631578947
1738510802,21,,Aggregated,6.200000,0.000000,7,10,11,11,14,17,20,260,290,290,290,104,0,7,13.538715298077127,3.6396099994817632,287.4200499991275,247.84615384615384
1738510803,22,,Aggregated,6.200000,0.000000,8,10,11,12,15,19,260,280,290,290,290,112,0,8,15.886916374995508,3.6396099994817632,287.4200499991275,252.89285714285714
1738510804,23,,Aggregated,6.600000,0.000000,8,10,11,12,16,20,260,280,290,290,290,119,0,8,17.626590478984394,3.6396099994817632,287.4200499991275,260.1512605042017
1738510805,24,,Aggregated,7.000000,0.000000,8,10,11,13,16,30,280,290,330,330,330,128,0,8,19.648125328131982,3.6396099994817632,328.01080500030366,261.09375
1738510806,25,,Aggregated,7.000000,0.000000,8,10,11,13,16,30,280,290,330,330,330,138,0,8,18.838101217401004,3.6396099994817632,328.01080500030366,261.8478260869565
1738510807,26,,Aggregated,7.100000,0.000000,8,10,11,12,16,30,280,290,330,330,330,150,0,8,19.390244993331482,3.6396099994817632,328.01080500030366,271.5
1738510808,27,,Aggregated,7.300000,0.000000,8,10,11,12,15,30,260,290,330,330,330,157,0,8,18.865060133755797,3.6396099994817632,328.01080500030366,275.0828025477707
1738510809,28,,Aggregated,8.000000,0.000000,8,10,11,12,15,30,260,290,330,330,330,173,0,8,19.135897919066316,3.6396099994817632,328.01080500030366,285.02312138728325
1738510810,29,,Aggregated,8.200000,0.000000,8,10,11,12,14,20,260,290,330,330,330,182,0,8,18.626523681307713,3.6396099994817632,328.01080500030366,291.95054945054943
1738510811,30,,Aggregated,8.800000,0.000000,8,10,11,12,15,30,260,290,330,330,330,190,0,8,19.2332556631539,3.6396099994817632,328.01080500030366,289.46315789473687
1738510812,31,,Aggregated,8.900000,0.000000,8,10,11,12,15,30,260,290,330,330,330,200,0,8,18.68284093499824,3.6396099994817632,328.01080500030366,291.13
1738510813,32,,Aggregated,9.500000,0.000000,8,10,11,12,14,20,260,280,330,330,330,213,0,8,18.02872378873086,3.6396099994817632,328.01080500030366,300.9154929577465
1738510814,33,,Aggregated,9.400000,0.000000,8,10,11,12,14,20,260,280,330,330,330,224,0,8,17.661150665178734,3.6396099994817632,328.01080500030366,304.73214285714283
1738510815,34,,Aggregated,9.900000,0.000000,8,10,11,12,14,20,260,280,330,330,330,237,0,8,17.143254371310118,3.6396099994817632,328.01080500030366,309.17721518987344
1738510816,35,,Aggregated,10.100000,0.000000,8,10,11,12,14,20,260,280,330,330,330,251,0,8,17.703557792831916,3.6396099994817632,328.01080500030366,317.00796812749
