Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738512122,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738512123,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738512124,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738512125,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738512126,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738512127,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738512128,1,,Aggregated,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11,12.747072500133072,10.815659999934724,14.67848500033142,169.0
1738512129,2,,Aggregated,0.000000,0.000000,11,11,15,15,15,15,15,15,15,15,15,4,0,7,9.29522374985936,4.615357999682601,14.67848500033142,126.5
1738512130,3,,Aggregated,0.000000,0.000000,15,16,18,18,20,20,20,20,20,20,20,8,0,11,12.468351874872496,4.615357999682601,20.183505000204605,190.375
1738512131,4,,Aggregated,2.000000,0.000000,12,15,16,18,20,20,20,20,20,20,20,10,0,11,11.645348199908767,4.615357999682601,20.183505000204605,169.1
1738512132,5,,Aggregated,2.000000,0.000000,11,15,16,16,18,20,20,20,20,20,20,13,0,11,11.619406230798072,4.615357999682601,20.183505000204605,188.76923076923077
1738512133,6,,Aggregated,2.666667,0.000000,11,15,15,16,18,20,20,20,20,20,20,18,0,11,11.339123388905945,4.615357999682601,20.183505000204605,226.0
1738512134,7,,Aggregated,2.500000,0.000000,11,15,15,16,16,18,20,20,20,20,20,21,0,11,11.117877238142508,4.615357999682601,20.183505000204605,221.9047619047619
1738512135,8,,Aggregated,2.600000,0.000000,10,12,15,16,16,18,20,20,20,20,20,25,0,10,10.450708599964855,4.273711999303487,20.183505000204605,206.64
