Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,add product to basket,26171,0,9,10.196035782010972,4.4963360005567665,896.0811399992963,1003.8086431546368,20.047723721392394,0.0,9,10,11,11,13,15,19,25,300,720,900
POST,create basket,2697,0,5,6.186115025590303,3.489871000056155,506.5603929997451,84.0,2.0659780244008745,0.0,5,6,6,6,7,9,11,16,110,510,510
GET,get basket,13023,0,5,5.191563970429961,3.0854730002829456,576.2529109997558,922.4448283805575,9.975985098914569,0.0,5,5,5,5,6,7,10,12,39,290,580
,Aggregated,41891,0,7,8.382090240431982,3.0854730002829456,896.0811399992963,919.2958630732138,32.089686844707835,0.0,7,9,10,11,12,13,17,21,260,590,900
